sentence,probe_at_score_0,probe_at_score_100,probe_range_over_all_scores,max_cosine_distance_from_score_50,positive_minus_negative_final
0,0.44829243062940727,0.47230114804470674,0.024008717415299474,0.006993563781208301,0.0
1,0.42812477809546656,0.4674741174975988,0.039349339402132255,0.011699831442310016,0.0
2,0.6152210186741296,0.6524477389845944,0.03722672031046481,0.013059122313428428,0.010606415487136145
3,0.5508476496688384,0.5802665857370339,0.029789346630998637,0.007843422264421696,0.006909296388528219
4,0.5239944110494964,0.554521961459803,0.0315806603372033,0.006690887296517345,0.0
5,0.5273784865082763,0.5582650143296158,0.030886527821339493,0.0094368071247255,0.0
6,0.6026096442856576,0.6505327675181704,0.048273970574433944,0.022515223540698237,0.005037037941505007
7,0.5063766381212917,0.5413557760711092,0.03736013269074756,0.012226746666498478,0.0
