condition,checkpoint,policy,worlds,eligible,useful,raw_unauthorized,mediated_unauthorized,restoration,off_target,accuracy
s2202-b12-w1-external_matched,learner_state_reset,external_matched,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-visible_task,initial,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-visible_task,learned_phase_1,visible_task,64,8,3,3,0,0.625,0.0,0.875
s2202-b12-w0-visible_task,immediate_drift,visible_task,64,8,0,6,0,0.0,0.625,0.78125
s2202-b12-w0-visible_task,learned_phase_2,visible_task,64,8,3,3,0,0.625,0.0,0.875
s2202-b12-w0-visible_task,persisted_state_reload,visible_task,64,8,3,3,0,0.625,0.0,0.875
s2202-b12-w0-visible_task,learner_state_reset,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-visible_task,initial,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-visible_task,learned_phase_1,visible_task,64,8,3,3,0,0.625,0.0,0.875
s2202-b12-w1-visible_task,immediate_drift,visible_task,64,8,0,6,0,0.0,0.625,0.78125
s2202-b12-w1-visible_task,learned_phase_2,visible_task,64,8,0,6,0,0.0,0.625,0.78125
s2202-b12-w1-visible_task,persisted_state_reload,visible_task,64,8,0,6,0,0.0,0.625,0.78125
s2202-b12-w1-visible_task,learner_state_reset,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-yoked_internal,initial,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w0-yoked_internal,learned_phase_1,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w0-yoked_internal,immediate_drift,yoked_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w0-yoked_internal,learned_phase_2,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w0-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b12-w0-yoked_internal,learner_state_reset,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-yoked_internal,initial,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b12-w1-yoked_internal,learned_phase_1,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
