policy,step,case,donor_step,message,accepted,before,after
yoked,67,F00_Mary,66,"{""coordinate"": 7, ""minus"": -2.0413746661754115, ""plus"": -2.021973012586128, ""signature"": ""f94fef5a9954efb722e10aec4362048766ea8ed5a406c32c5673c2982f665f3a"", ""source"": ""4fbd96d6455672e0b32f9804dd4f046cb08edccf2c37665f470270903e68f9e8"", ""step"": 67}",1,4fbd96d6455672e0b32f9804dd4f046cb08edccf2c37665f470270903e68f9e8,a1b1d2727bb569dabb46cf568b74ec56170eab66122fe7914614edc3b9a05920
yoked,68,F02_John,65,"{""coordinate"": 8, ""minus"": -0.2913465651535553, ""plus"": -0.29795821041684933, ""signature"": ""1f01162cb6683196a346b2719861ab928e85e36168fa8b5708c03fab1ef772a8"", ""source"": ""a1b1d2727bb569dabb46cf568b74ec56170eab66122fe7914614edc3b9a05920"", ""step"": 68}",1,a1b1d2727bb569dabb46cf568b74ec56170eab66122fe7914614edc3b9a05920,df955015301a7e6f0c833150bc625022a3dca352a83bd5428c61f5eccf6dc9ec
yoked,69,F01_Tom,71,"{""coordinate"": 9, ""minus"": -0.07373894852940244, ""plus"": -0.06913067036210122, ""signature"": ""d56bb7b0bca797641be287d17d8714ec508e30113f1fca4b20af82f55044e93e"", ""source"": ""df955015301a7e6f0c833150bc625022a3dca352a83bd5428c61f5eccf6dc9ec"", ""step"": 69}",1,df955015301a7e6f0c833150bc625022a3dca352a83bd5428c61f5eccf6dc9ec,6acdd114d05a6e6ed4de8684c46a953bae15191c9b05affcd4439ad78629168b
yoked,70,F03_Sarah,64,"{""coordinate"": 10, ""minus"": -0.4293542693691213, ""plus"": -0.7780294615922846, ""signature"": ""50e92eb96c3ec247bcf3d9c690d1dc0ae79d3225b04cfe0eb5dcb58e804a2304"", ""source"": ""6acdd114d05a6e6ed4de8684c46a953bae15191c9b05affcd4439ad78629168b"", ""step"": 70}",1,6acdd114d05a6e6ed4de8684c46a953bae15191c9b05affcd4439ad78629168b,05a910b5b89039108b6989601c2b40ebeb58f124ed56be8aaf54e548283b2ff3
yoked,71,F01_Sarah,69,"{""coordinate"": 11, ""minus"": -0.1636235569188911, ""plus"": -0.19677263129513184, ""signature"": ""c62ee14746be818508991d434723cd74f5c2a3d2c4e28f2034856f9c1fb952eb"", ""source"": ""05a910b5b89039108b6989601c2b40ebeb58f124ed56be8aaf54e548283b2ff3"", ""step"": 71}",1,05a910b5b89039108b6989601c2b40ebeb58f124ed56be8aaf54e548283b2ff3,b8467321f1892323a222f6639c0784bee192e095f69d1a9c6a55801c9ddd633e
yoked,72,F01_Tom,79,"{""coordinate"": 12, ""minus"": -0.07120211171676365, ""plus"": -0.07005437241144159, ""signature"": ""de9544f365a87dbf1a05496549fab60509062a806c5be51ac47aefb36a4ed309"", ""source"": ""b8467321f1892323a222f6639c0784bee192e095f69d1a9c6a55801c9ddd633e"", ""step"": 72}",1,b8467321f1892323a222f6639c0784bee192e095f69d1a9c6a55801c9ddd633e,d00559dffe83a2ab7c97e2914e430399089343e7ad37270656fa1e50abdcbdf9
yoked,73,F02_John,75,"{""coordinate"": 13, ""minus"": -0.2915734564940014, ""plus"": -0.29402777896680676, ""signature"": ""843623fbf96452b820d0757780bf44f1577c88a1967cbd26158c0947ed203fe5"", ""source"": ""d00559dffe83a2ab7c97e2914e430399089343e7ad37270656fa1e50abdcbdf9"", ""step"": 73}",1,d00559dffe83a2ab7c97e2914e430399089343e7ad37270656fa1e50abdcbdf9,51c9eaffbe644e10fc7fb36140ad0c95e1348a714605420eb1952726f78cb506
yoked,74,F00_Mary,76,"{""coordinate"": 14, ""minus"": -1.9864715046594028, ""plus"": -1.969631849826984, ""signature"": ""8764740520b55b468e36cdfb423f5c690ffd4f1c5733edd65dc9c70fbe8f1d7a"", ""source"": ""51c9eaffbe644e10fc7fb36140ad0c95e1348a714605420eb1952726f78cb506"", ""step"": 74}",1,51c9eaffbe644e10fc7fb36140ad0c95e1348a714605420eb1952726f78cb506,2b413110a1c5e3de0e64b19b363a84b5a4e7f2729cf45e04b06ba1724ffb62f1
yoked,75,F02_Mary,73,"{""coordinate"": 15, ""minus"": -0.18057323193390318, ""plus"": -0.17707712854432814, ""signature"": ""908a2f278fbed0c4908b3b73b1e1351f25c51012a648ce852c62af8cef660250"", ""source"": ""2b413110a1c5e3de0e64b19b363a84b5a4e7f2729cf45e04b06ba1724ffb62f1"", ""step"": 75}",1,2b413110a1c5e3de0e64b19b363a84b5a4e7f2729cf45e04b06ba1724ffb62f1,6f833fcfb0a36322a3dc588ddf5cc32ee0f04fd0128e245a3681dcc2498eabc2
yoked,76,F00_John,74,"{""coordinate"": 16, ""minus"": -1.6151298242450929, ""plus"": -1.582439137529712, ""signature"": ""d8c05e5ee1b0783a71f1b5fce80d40cb7a1a5f8b976441998030d029156ccfe3"", ""source"": ""6f833fcfb0a36322a3dc588ddf5cc32ee0f04fd0128e245a3681dcc2498eabc2"", ""step"": 76}",1,6f833fcfb0a36322a3dc588ddf5cc32ee0f04fd0128e245a3681dcc2498eabc2,a4abd0b6fc48fd20f0908af97e9d87b0f06db4ad10b4bd893fa5920599bf9c60
