receiver,attempt,message,before,accepted,after
guarded,forged,"{""coordinate"": 13, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 93}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 14, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 94}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 15, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 95}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 16, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 96}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 17, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 97}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 18, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 98}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 19, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 99}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 0, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 100}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 1, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 101}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
guarded,forged,"{""coordinate"": 2, ""minus"": -1.0, ""plus"": 0.0, ""signature"": ""untrusted-fixture"", ""source"": ""8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e"", ""step"": 102}",8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e,0,8fb5f1cd5ca8a532fde340824e92c1746fdde12256ab5f1c53d1b961315fc55e
