condition,stage,task,task_name,n,correct_mean,source_bits_mean,samples_mean,retrievals_mean,operations_mean,assembly_bits_mean,memory_entries_mean,memory_serialized_bytes_mean
fixed_all_coarse,1,5,temporal_order,48,0.4166666666666667,6.0,6.0,0.0,6.0,6.0,12.0,523.0
full_record_upper_bound,0,0,focused_0,60,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,0,1,focused_5,60,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,0,2,broad_coarse,60,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,0,3,ordered_binding,60,1.0,12.0,6.0,6.0,12.0,12.0,6.0,259.0
full_record_upper_bound,1,0,focused_0,36,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,1,focused_5,36,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,2,broad_coarse,36,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,3,ordered_binding,36,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,4,delayed_pair,48,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
full_record_upper_bound,1,5,temporal_order,48,1.0,12.0,6.0,12.0,18.0,24.0,12.0,517.0
learned_assembly,0,0,focused_0,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
learned_assembly,0,1,focused_5,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
learned_assembly,0,2,broad_coarse,60,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
learned_assembly,0,3,ordered_binding,60,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
learned_assembly,1,0,focused_0,36,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
learned_assembly,1,1,focused_5,36,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
learned_assembly,1,2,broad_coarse,36,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
learned_assembly,1,3,ordered_binding,36,1.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
learned_assembly,1,4,delayed_pair,48,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
learned_assembly,1,5,temporal_order,48,1.0,2.0,1.0,1.0,2.0,4.0,7.0,302.0
matched_attention,0,0,focused_0,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
matched_attention,0,1,focused_5,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
matched_attention,0,2,broad_coarse,60,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
matched_attention,0,3,ordered_binding,60,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
matched_attention,1,0,focused_0,36,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
matched_attention,1,1,focused_5,36,1.0,2.0,1.0,0.0,1.0,2.0,7.0,302.0
matched_attention,1,2,broad_coarse,36,1.0,3.0,3.0,0.0,3.0,3.0,9.0,391.0
matched_attention,1,3,ordered_binding,36,1.0,4.0,2.0,0.0,2.0,4.0,8.0,345.0
matched_attention,1,4,delayed_pair,48,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
matched_attention,1,5,temporal_order,48,1.0,2.0,1.0,1.0,2.0,4.0,7.0,302.0
memory_reset_at_switch,0,0,focused_0,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
memory_reset_at_switch,0,1,focused_5,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
memory_reset_at_switch,0,2,broad_coarse,60,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
memory_reset_at_switch,0,3,ordered_binding,60,1.0,0.0,0.0,2.0,2.0,4.0,6.0,259.0
memory_reset_at_switch,1,0,focused_0,36,1.0,2.0,1.0,0.0,1.0,2.0,1.0,44.0
memory_reset_at_switch,1,1,focused_5,36,1.0,2.0,1.0,0.0,1.0,2.0,1.0,44.0
memory_reset_at_switch,1,2,broad_coarse,36,1.0,3.0,3.0,0.0,3.0,3.0,3.0,133.0
memory_reset_at_switch,1,3,ordered_binding,36,1.0,4.0,2.0,0.0,2.0,4.0,2.0,87.0
memory_reset_at_switch,1,4,delayed_pair,48,0.020833333333333332,0.0,0.0,2.0,2.0,0.0,0.0,2.0
memory_reset_at_switch,1,5,temporal_order,48,0.4166666666666667,2.0,1.0,1.0,2.0,2.0,1.0,44.0
no_new_sampling_after_change,0,0,focused_0,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
no_new_sampling_after_change,0,1,focused_5,60,1.0,0.0,0.0,1.0,1.0,2.0,6.0,259.0
no_new_sampling_after_change,0,2,broad_coarse,60,1.0,0.0,0.0,3.0,3.0,3.0,6.0,259.0
