case,arm,layer,kind,prior_positions_max_error,last_position_max_error
J00_g0_c0_recipient,internal,0,key,0.0,0.0
J00_g0_c0_recipient,internal,0,value,0.0,0.0
J00_g0_c0_recipient,internal,1,key,0.0,0.0
J00_g0_c0_recipient,internal,1,value,0.0,0.0
J00_g0_c0_recipient,internal,2,key,0.0,0.0
J00_g0_c0_recipient,internal,2,value,0.0,0.0
J00_g0_c0_recipient,internal,3,key,0.0,0.0
J00_g0_c0_recipient,internal,3,value,0.0,0.0
J00_g0_c0_recipient,internal,4,key,0.0,0.0
J00_g0_c0_recipient,internal,4,value,0.0,0.0
J00_g0_c0_recipient,internal,5,key,0.0,0.0
J00_g0_c0_recipient,internal,5,value,0.0,0.0
J00_g0_c0_recipient,internal,6,key,0.0,0.0
J00_g0_c0_recipient,internal,6,value,0.0,0.0
J00_g0_c0_recipient,internal,7,key,0.0,0.0
J00_g0_c0_recipient,internal,7,value,0.0,0.0
J00_g0_c0_recipient,internal,8,key,0.0,0.0
J00_g0_c0_recipient,internal,8,value,0.0,0.0
J00_g0_c0_recipient,internal,9,key,0.0,0.8611394166946411
J00_g0_c0_recipient,internal,9,value,0.0,1.403594970703125
J00_g0_c0_recipient,internal,10,key,0.0,0.8459415435791016
J00_g0_c0_recipient,internal,10,value,0.0,0.9367195963859558
J00_g0_c0_recipient,internal,11,key,0.0,0.7230991721153259
J00_g0_c0_recipient,internal,11,value,0.0,1.095428228378296
J00_g0_c0_recipient,task,0,key,0.0,0.0
J00_g0_c0_recipient,task,0,value,0.0,0.0
J00_g0_c0_recipient,task,1,key,0.0,0.0
J00_g0_c0_recipient,task,1,value,0.0,0.0
J00_g0_c0_recipient,task,2,key,0.0,0.0
J00_g0_c0_recipient,task,2,value,0.0,0.0
J00_g0_c0_recipient,task,3,key,0.0,0.0
J00_g0_c0_recipient,task,3,value,0.0,0.0
J00_g0_c0_recipient,task,4,key,0.0,0.0
J00_g0_c0_recipient,task,4,value,0.0,0.0
J00_g0_c0_recipient,task,5,key,0.0,0.0
J00_g0_c0_recipient,task,5,value,0.0,0.0
J00_g0_c0_recipient,task,6,key,0.0,0.0
J00_g0_c0_recipient,task,6,value,0.0,0.0
J00_g0_c0_recipient,task,7,key,0.0,0.0
J00_g0_c0_recipient,task,7,value,0.0,0.0
J00_g0_c0_recipient,task,8,key,0.0,0.0
J00_g0_c0_recipient,task,8,value,0.0,0.0
J00_g0_c0_recipient,task,9,key,0.0,1.1721936464309692
J00_g0_c0_recipient,task,9,value,0.0,2.1192076206207275
J00_g0_c0_recipient,task,10,key,0.0,1.1460528373718262
J00_g0_c0_recipient,task,10,value,0.0,1.2302525043487549
J00_g0_c0_recipient,task,11,key,0.0,0.7966513633728027
J00_g0_c0_recipient,task,11,value,0.0,1.209749460220337
J00_g0_c0_recipient,yoked,0,key,0.0,0.0
J00_g0_c0_recipient,yoked,0,value,0.0,0.0
J00_g0_c0_recipient,yoked,1,key,0.0,0.0
J00_g0_c0_recipient,yoked,1,value,0.0,0.0
J00_g0_c0_recipient,yoked,2,key,0.0,0.0
J00_g0_c0_recipient,yoked,2,value,0.0,0.0
J00_g0_c0_recipient,yoked,3,key,0.0,0.0
J00_g0_c0_recipient,yoked,3,value,0.0,0.0
J00_g0_c0_recipient,yoked,4,key,0.0,0.0
J00_g0_c0_recipient,yoked,4,value,0.0,0.0
J00_g0_c0_recipient,yoked,5,key,0.0,0.0
J00_g0_c0_recipient,yoked,5,value,0.0,0.0
J00_g0_c0_recipient,yoked,6,key,0.0,0.0
J00_g0_c0_recipient,yoked,6,value,0.0,0.0
J00_g0_c0_recipient,yoked,7,key,0.0,0.0
J00_g0_c0_recipient,yoked,7,value,0.0,0.0
J00_g0_c0_recipient,yoked,8,key,0.0,0.0
J00_g0_c0_recipient,yoked,8,value,0.0,0.0
J00_g0_c0_recipient,yoked,9,key,0.0,0.640255331993103
J00_g0_c0_recipient,yoked,9,value,0.0,1.3188505172729492
J00_g0_c0_recipient,yoked,10,key,0.0,0.7251158952713013
J00_g0_c0_recipient,yoked,10,value,0.0,0.8562107682228088
J00_g0_c0_recipient,yoked,11,key,0.0,0.4971708655357361
J00_g0_c0_recipient,yoked,11,value,0.0,0.7797360420227051
J00_g0_c0_recipient,supervised_ridge,0,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,0,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,1,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,1,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,2,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,2,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,3,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,3,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,4,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,4,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,5,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,5,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,6,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,6,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,7,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,7,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,8,key,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,8,value,0.0,0.0
J00_g0_c0_recipient,supervised_ridge,9,key,0.0,0.7210589647293091
J00_g0_c0_recipient,supervised_ridge,9,value,0.0,1.045426845550537
J00_g0_c0_recipient,supervised_ridge,10,key,0.0,0.6539508700370789
J00_g0_c0_recipient,supervised_ridge,10,value,0.0,0.8272570967674255
J00_g0_c0_recipient,supervised_ridge,11,key,0.0,0.5272983312606812
J00_g0_c0_recipient,supervised_ridge,11,value,0.0,0.8469924330711365
J00_g0_c0_recipient,reflection,0,key,0.0,0.0
J00_g0_c0_recipient,reflection,0,value,0.0,0.0
J00_g0_c0_recipient,reflection,1,key,0.0,0.0
J00_g0_c0_recipient,reflection,1,value,0.0,0.0
J00_g0_c0_recipient,reflection,2,key,0.0,0.0
J00_g0_c0_recipient,reflection,2,value,0.0,0.0
J00_g0_c0_recipient,reflection,3,key,0.0,0.0
J00_g0_c0_recipient,reflection,3,value,0.0,0.0
J00_g0_c0_recipient,reflection,4,key,0.0,0.0
J00_g0_c0_recipient,reflection,4,value,0.0,0.0
J00_g0_c0_recipient,reflection,5,key,0.0,0.0
J00_g0_c0_recipient,reflection,5,value,0.0,0.0
J00_g0_c0_recipient,reflection,6,key,0.0,0.0
J00_g0_c0_recipient,reflection,6,value,0.0,0.0
J00_g0_c0_recipient,reflection,7,key,0.0,0.0
J00_g0_c0_recipient,reflection,7,value,0.0,0.0
J00_g0_c0_recipient,reflection,8,key,0.0,0.0
J00_g0_c0_recipient,reflection,8,value,0.0,0.0
J00_g0_c0_recipient,reflection,9,key,0.0,0.7256892919540405
J00_g0_c0_recipient,reflection,9,value,0.0,1.0488505363464355
J00_g0_c0_recipient,reflection,10,key,0.0,0.6726574301719666
J00_g0_c0_recipient,reflection,10,value,0.0,0.8173811435699463
J00_g0_c0_recipient,reflection,11,key,0.0,0.5237357020378113
J00_g0_c0_recipient,reflection,11,value,0.0,0.8582344651222229
J00_g0_c0_recipient,residual_donor,0,key,0.0,0.0
J00_g0_c0_recipient,residual_donor,0,value,0.0,0.0
J00_g0_c0_recipient,residual_donor,1,key,0.0,0.0
J00_g0_c0_recipient,residual_donor,1,value,0.0,0.0
J00_g0_c0_recipient,residual_donor,2,key,0.0,0.0
J00_g0_c0_recipient,residual_donor,2,value,0.0,0.0
J00_g0_c0_recipient,residual_donor,3,key,0.0,0.0
