condition,distance_um,mean,minimum,maximum
A2,0,-0.10266479599713026,-0.363645444556442,0.194772114310622
A2,20,-0.06070504263491977,-0.334768118705787,0.371355145703363
A2,40,-0.06051207308324462,-0.474795906321228,0.54117743209742
A2,60,-0.11866083671597613,-0.519474033109035,0.230596344021576
A2,80,-0.23677591013521487,-0.573868744381181,0.112185686653772
A2,100,-0.20332134651882922,-0.51534221447317,0.0823367023546826
A2,120,-0.19734065255491684,-0.702817809500459,0.301291306835209
A2,140,-0.2886334123373379,-0.678753371291579,0.153712734174227
A2,160,-0.3526502665250043,-0.857874519846351,0.34176496762652
A2,180,-0.6947253475722162,-1.83961278956784,0.142652173518221
A2,200,-0.8661835617184738,-1.32281762788206,-0.130492821532678
A2,220,-0.6117543429500278,-0.97016009662099,-0.118460602428238
A2,240,-0.7122338155301897,-2.14214364199381,0.112203848493929
A2,260,-0.471136749575467,-0.934517485311612,0.0648967953433042
A4,0,-0.2846655972743851,-0.614272380446444,0.18603567575749
A4,20,-0.27196792416712795,-0.701970461624299,0.439499453185399
A4,40,-0.15996248718287337,-0.57204078331748,0.919969194379607
A4,60,-0.03325404397962283,-0.674726184628945,1.25621936688218
A4,80,-0.35750990869605853,-0.853965630068422,-0.0423057917830904
A4,100,-0.37825770177607176,-0.95114578804368,-0.0294107608958559
A4,120,-0.5191518660697456,-1.33563732465948,-0.0905174780346726
A4,140,-0.5240383259905358,-1.02505850248478,-0.104792529488665
A4,160,-0.5185123081511731,-0.913380709093149,-0.191555758024523
A4,180,-0.6907948176517986,-2.39515182452074,0.0200815250859545
A4,200,-0.8450800782901986,-1.51282899764506,-0.242675874717875
A4,220,-0.4841661188628038,-1.01982035990343,-0.15913269417112
A4,240,-0.5706911825589142,-1.97684236455395,0.000868077453283336
A4,260,-0.4917057796151673,-1.01461189518373,-0.142379541269292
