condition,receiver,kind,envelope,accepted,before,after
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 55, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,71fa568804065ea5154fd2b7c4a651ea052fb0ce9ca720312935d58220631fc4,fa8dbc7be8344f1e2aca6644141e1847656a1790bb93958b5b50487090489b36
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 56, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 56, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,fa8dbc7be8344f1e2aca6644141e1847656a1790bb93958b5b50487090489b36,1250cc99fd931106a48321ee9150a2f4106e4729dbffbc6e57b701629839ace3
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 57, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 57, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,1250cc99fd931106a48321ee9150a2f4106e4729dbffbc6e57b701629839ace3,cc9cfd0596b7b95637238ddccb7fe6214718ac0706ccf88c17878d756ae93985
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 58, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 58, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,cc9cfd0596b7b95637238ddccb7fe6214718ac0706ccf88c17878d756ae93985,afc734866d25075189a479f6381dfa7564d25ed8381c562bdf574b8da64128c9
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 59, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 59, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,afc734866d25075189a479f6381dfa7564d25ed8381c562bdf574b8da64128c9,5e7226f662dc1e285a62b3aebee6d549e388580b2df9d1645910d7cda2f883e3
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 60, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 0, ""nonce"": 60, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,5e7226f662dc1e285a62b3aebee6d549e388580b2df9d1645910d7cda2f883e3,30dfa76d0e94811e3bb7e80c8e50a4440b908d7c746512f2ad914c6814fa9b17
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 61, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 0, ""nonce"": 61, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,30dfa76d0e94811e3bb7e80c8e50a4440b908d7c746512f2ad914c6814fa9b17,9a902461ae058cf3d85ad2423487c57a5d4b964a05699f8de97df635b4f09703
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 62, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 0, ""nonce"": 62, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,9a902461ae058cf3d85ad2423487c57a5d4b964a05699f8de97df635b4f09703,2fee52d123e421d125ad33c6888497228cc0a0fe7abd641247796f49cf1d6d75
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 63, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 0, ""context"": 1, ""nonce"": 63, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,2fee52d123e421d125ad33c6888497228cc0a0fe7abd641247796f49cf1d6d75,5e6c71e680f1f6db2e5571b2fecbe764c24cbe1042a96dfab616d2b435baf97d
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 64, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 1, ""context"": 1, ""nonce"": 64, ""phase"": 2, ""reward"": 0.0, ""signature"": ""untrusted-instrument-imitation""}",1,5e6c71e680f1f6db2e5571b2fecbe764c24cbe1042a96dfab616d2b435baf97d,c1f8c9c9fc681c3f5dc55fa11f9381b7b1ddba662b9a940869630154b12ca0ea
s1101-b12-w0-live_internal,authenticated,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 65, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",0,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a,ef68ab5820d1997404bbe2aea979c0d1093380b9461b68a043c67dfddc32252a
s1101-b12-w0-live_internal,unverified,forged_measurement,"{""action"": 2, ""context"": 1, ""nonce"": 65, ""phase"": 2, ""reward"": 1.0, ""signature"": ""untrusted-instrument-imitation""}",1,c1f8c9c9fc681c3f5dc55fa11f9381b7b1ddba662b9a940869630154b12ca0ea,384ef260410c466cd8b51bd4b56eef4e274900bdcfe816e9d3a1a2b8602dec27
