event,condition,policy,phase,visit,context,world,wiring,action,reward,donor_event,internal_reward,task_reward,envelope,before,after,accepted
s1101-b48-w0-yoked_internal-p2-c0-t18,s1101-b48-w0-yoked_internal,yoked_internal,2,18,0,37,1,1,0.9557991073400582,s1101-b48-w1-live_internal-p2-c0-t18,0.7157590094514965,0.9999999999988729,"{""action"": 1, ""context"": 0, ""nonce"": 132, ""phase"": 2, ""reward"": 0.9557991073400582, ""signature"": ""013d94880458bfb69b6fa55ca0dcb28dc0882994d920f13d1dd0dad8f18aeb63""}",bb22cc34ff196d149c14ae870f3d22ca17e222d3ce9fbd7c368ef7d6e768d192,2db91c018ac7678471869d97677f53f1e15d3724bdddde37a5d83bcbe1a0b84a,1
s1101-b48-w0-yoked_internal-p2-c1-t18,s1101-b48-w0-yoked_internal,yoked_internal,2,18,1,105,1,2,0.9437251418752731,s1101-b48-w1-live_internal-p2-c1-t18,0.6310053640602982,0.9999999999973878,"{""action"": 2, ""context"": 1, ""nonce"": 133, ""phase"": 2, ""reward"": 0.9437251418752731, ""signature"": ""2f64c0a4965d76c23a17ac343865d8ff0f8a7724ef00635ed59a0057e2ff420b""}",381f0bca0302ea688072928c9adc89244ee0a57dc77a5734ebe058e3cd519833,45b16e701246db73a397633462578a8aa1f199d92ae4ce7b5ae0efc599b80a6d,1
s1101-b48-w0-yoked_internal-p2-c0-t19,s1101-b48-w0-yoked_internal,yoked_internal,2,19,0,53,1,1,0.9395857264846672,s1101-b48-w1-live_internal-p2-c0-t19,0.7078836149235783,0.999999999995249,"{""action"": 1, ""context"": 0, ""nonce"": 134, ""phase"": 2, ""reward"": 0.9395857264846672, ""signature"": ""9add48ce3e9067c1216a6c608559b9ef02d7135918e99780686922acbfdfe862""}",34c31952a4dff97373d6325b9a00979a5dd651075cc9c061e6f21e3e35741d3a,5236ba89231bab4efdbaac44a953e35567b8029f8f3d0562077e47f32422181e,1
s1101-b48-w0-yoked_internal-p2-c1-t19,s1101-b48-w0-yoked_internal,yoked_internal,2,19,1,111,1,1,0.2473592358482961,s1101-b48-w1-live_internal-p2-c1-t19,0.9539147431714811,0.9999999999631403,"{""action"": 1, ""context"": 1, ""nonce"": 135, ""phase"": 2, ""reward"": 0.2473592358482961, ""signature"": ""0973aeef2805dc24ebab832068fd0777f8f58b3643c52e8f5efd513b0256572e""}",ec484a6358d71c606d9b5ff2f4c690627d08876a3c210bae35440c6584a4687e,9dfdccfcb8e520d84fe4c5edfcec77e41dafdd758dd0a6f1539e24e4c0a0ef8c,1
s1101-b48-w0-yoked_internal-p2-c0-t20,s1101-b48-w0-yoked_internal,yoked_internal,2,20,0,165,1,1,0.988182289945158,s1101-b48-w1-live_internal-p2-c0-t20,0.8002063255670936,6.444995463428249e-05,"{""action"": 1, ""context"": 0, ""nonce"": 136, ""phase"": 2, ""reward"": 0.988182289945158, ""signature"": ""61df00982c2003c12ce407763da2b24f5501d923c18f23019d07baf81850915c""}",6c483c3884ade8f05495211df647f324ad9b470a292553307512b1c485dbf442,652c39a0db75996c10b8d8f1cb6ce996db3b4e5c36245afb689456555b5ddf72,1
s1101-b48-w0-yoked_internal-p2-c1-t20,s1101-b48-w0-yoked_internal,yoked_internal,2,20,1,89,1,2,0.9729663201576141,s1101-b48-w1-live_internal-p2-c1-t20,0.1870450693128859,3.191638232180605e-05,"{""action"": 2, ""context"": 1, ""nonce"": 137, ""phase"": 2, ""reward"": 0.9729663201576141, ""signature"": ""ff90fd5d50a87e23c90e026c027ba6d7453e745716b73b06d311942af33b371b""}",05e64967cca7301bfb65dcf59267d02ca02f13ffc164517fe0534251f9c8e46e,4aaa3ab08b96342b0c79020db038f6a8fb76aa1ac3d78b00f5c352da87204406,1
s1101-b48-w0-yoked_internal-p2-c0-t21,s1101-b48-w0-yoked_internal,yoked_internal,2,21,0,39,1,1,0.9605057557276747,s1101-b48-w1-live_internal-p2-c0-t21,0.44361803968186975,0.9999999998590917,"{""action"": 1, ""context"": 0, ""nonce"": 138, ""phase"": 2, ""reward"": 0.9605057557276747, ""signature"": ""230b8c239d39925f4906101c713b0434dc87d92a015828a1a8699db4753dfd95""}",1fae458606b3117703a080e5eba13bc407956f476c88fc67508e4e9a1b6a7283,15edf23f5e7e93b86bdec533cba7b2a0b39bad49f61f431e3fbf9bc35c98f2dc,1
s1101-b48-w0-yoked_internal-p2-c1-t21,s1101-b48-w0-yoked_internal,yoked_internal,2,21,1,102,1,2,0.7237868805533256,s1101-b48-w1-live_internal-p2-c1-t21,0.9202590096127727,0.9999999999962406,"{""action"": 2, ""context"": 1, ""nonce"": 139, ""phase"": 2, ""reward"": 0.7237868805533256, ""signature"": ""bc7b1a6af86a92aa645615083a1925ee3894de02a5c6010dbd7ac497871cf3c9""}",600ddf3e11f80092b9795c929dac2f633470754d93c798b86961a2bb72b7bf8c,1181e14b5de9e06b6eadac8ea1c393679b876158fadf272a81e2a4a6591e1d55,1
s1101-b48-w0-yoked_internal-p2-c0-t22,s1101-b48-w0-yoked_internal,yoked_internal,2,22,0,16,1,1,0.9931689069947301,s1101-b48-w1-live_internal-p2-c0-t22,0.607997870938017,0.9999999996698434,"{""action"": 1, ""context"": 0, ""nonce"": 140, ""phase"": 2, ""reward"": 0.9931689069947301, ""signature"": ""159c01d72d801aea696d2a5b786dd4b168c376e174b8874f1564ca35c0d0a342""}",c9efd4051b256c477b4395a3f112b9c6c4fb7838940cfd927bc1fab2f218cfe2,c1d65076632ce5d40176afb10a50a311a7a55b79a66593dddd12eb16bd83859b,1
s1101-b48-w0-yoked_internal-p2-c1-t22,s1101-b48-w0-yoked_internal,yoked_internal,2,22,1,85,1,2,0.9903253367001982,s1101-b48-w1-live_internal-p2-c1-t22,0.3018047597743102,0.0002735190262876941,"{""action"": 2, ""context"": 1, ""nonce"": 141, ""phase"": 2, ""reward"": 0.9903253367001982, ""signature"": ""4cb4331e5daa7a45b17d5f31056442eaa0678580e96337fd611748d0bfc47027""}",d74c35446525876bb2503b3e570cc7e2df23a5d02aa9341d2fa949ae544d8812,51e1024551b8b45625eafca690304fcd3bd242349a53f71990c51ac309f9403a,1
s1101-b48-w0-yoked_internal-p2-c0-t23,s1101-b48-w0-yoked_internal,yoked_internal,2,23,0,34,1,2,0.20274688781069972,s1101-b48-w1-live_internal-p2-c0-t23,0.9942335818614284,0.9999999999717709,"{""action"": 2, ""context"": 0, ""nonce"": 142, ""phase"": 2, ""reward"": 0.20274688781069972, ""signature"": ""7a8810cc9c17ce7ac9fd95e5db2625e5638894bb5340a197447d0d235b11a436""}",851d54e7b36790a85ade7b333e0eda44a1eb15485381df17f785439a9059d423,b09176bbb36c4430c68f9b7b60d81f9de6194ef4ace54261db0441302d3516a2,1
s1101-b48-w0-yoked_internal-p2-c1-t23,s1101-b48-w0-yoked_internal,yoked_internal,2,23,1,124,1,2,0.9713909019170783,s1101-b48-w1-live_internal-p2-c1-t23,0.2948535336002974,0.999999999999424,"{""action"": 2, ""context"": 1, ""nonce"": 143, ""phase"": 2, ""reward"": 0.9713909019170783, ""signature"": ""8fbd8989cbf654575bcf6c3db35571c31f69232341c766b99ebff6ebf73c087b""}",311b2cb545e2d31ea16a929b5cdaccabbe4699c5137ad2d25ab073466b56e0fc,c3b9f5e5f799511d7c6bd5b903315e98d7bcb7939f01284ed91428abab36c119,1
s1101-b48-w0-yoked_internal-p2-c0-t24,s1101-b48-w0-yoked_internal,yoked_internal,2,24,0,44,1,1,0.9822907890162732,s1101-b48-w1-live_internal-p2-c0-t24,0.1363470402307313,7.197450793250404e-06,"{""action"": 1, ""context"": 0, ""nonce"": 144, ""phase"": 2, ""reward"": 0.9822907890162732, ""signature"": ""c375fe67b4107f14c9b00ee47f1a8f0ff536d71d1bb6bc1cf369ad021029ac91""}",d739a6e42c93497005f4555ae7ff519cf5a47011699d053cc4accbbd8127a8df,fe289d8608d7c81aa7e2f6a6065023c871685ce8770811cd445948ebf6d7e57f,1
s1101-b48-w0-yoked_internal-p2-c1-t24,s1101-b48-w0-yoked_internal,yoked_internal,2,24,1,193,1,2,0.9849394563901703,s1101-b48-w1-live_internal-p2-c1-t24,0.4042906144628613,0.9999999999072229,"{""action"": 2, ""context"": 1, ""nonce"": 145, ""phase"": 2, ""reward"": 0.9849394563901703, ""signature"": ""50b2409ea36a7ce6c2abbaea82e984f1223f55d98cc563a5f6f45221fc5886dd""}",1fcae95b64af62b52aba7612796e62344f9ac44422559aa30c37d9838cd3284d,7ee86c35ffb9a7cd0c8b104659b00611e9a7effb7b88785dc6a5fa2cc1f1f9b6,1
s1101-b48-w0-yoked_internal-p2-c0-t25,s1101-b48-w0-yoked_internal,yoked_internal,2,25,0,57,1,1,0.7888394606016924,s1101-b48-w1-live_internal-p2-c0-t25,0.4311720302618687,0.9999999999990729,"{""action"": 1, ""context"": 0, ""nonce"": 146, ""phase"": 2, ""reward"": 0.7888394606016924, ""signature"": ""b6b70c5ad195e04606660eb9953a9e0c4917d51e1e27de65fe150b8851c56932""}",8eca66685d72272b52bbe0c4ee05bce703b9c87f22094f6e293fb74f3c0672c6,3c721e6b2829fccf60fa2a954e7e2efa3461af7e2996c3bac2f2c26bece38c5c,1
s1101-b48-w0-yoked_internal-p2-c1-t25,s1101-b48-w0-yoked_internal,yoked_internal,2,25,1,252,1,2,0.9903600701219352,s1101-b48-w1-live_internal-p2-c1-t25,0.25335307743298885,0.9999999999984264,"{""action"": 2, ""context"": 1, ""nonce"": 147, ""phase"": 2, ""reward"": 0.9903600701219352, ""signature"": ""cf22f2c4ecf7c3ca102c6fc1c6d685329a6ab53f2ce305d767d4b83ba7122075""}",4118384d19795f20b1dcef54720103904d11953b0683f5e1c563b03126621293,2c4c38b9ddfd3e035f11d420bdebd66828c79052e1e0ddbfacd65154ef677484,1
s1101-b48-w0-yoked_internal-p2-c0-t26,s1101-b48-w0-yoked_internal,yoked_internal,2,26,0,42,1,1,0.9853306260560302,s1101-b48-w1-live_internal-p2-c0-t26,0.4443286226098343,7.79707031133281e-05,"{""action"": 1, ""context"": 0, ""nonce"": 148, ""phase"": 2, ""reward"": 0.9853306260560302, ""signature"": ""7d8c94c3799b0e1e6a15baf91b7d44504b9c873c2d0126c687c7b493eab12fbc""}",dd30685ccef6ceefde4b33916b7be79de17e26981078b4644c96c5fbe55928ff,aa95daeeccc3bd29d1ec90aa16ce25dd9514fa41586d0d225335f8b05b42d3a2,1
s1101-b48-w0-yoked_internal-p2-c1-t26,s1101-b48-w0-yoked_internal,yoked_internal,2,26,1,91,1,2,0.9390467923220441,s1101-b48-w1-live_internal-p2-c1-t26,0.3093451524917106,0.9999999999985565,"{""action"": 2, ""context"": 1, ""nonce"": 149, ""phase"": 2, ""reward"": 0.9390467923220441, ""signature"": ""ce0bd5ba15c630d56186d456989c77d62b137873090b077396ce4d12bc86e4c5""}",ace32a25e10011054465a50296a945db411322b49793120468df1ebdb8ed93c5,bc50904c164b6d53da05970e4da51e671a26913fb89b01bc411f768afe0f2bd0,1
s1101-b48-w0-yoked_internal-p2-c0-t27,s1101-b48-w0-yoked_internal,yoked_internal,2,27,0,159,1,0,0.8847269651236348,s1101-b48-w1-live_internal-p2-c0-t27,0.8847269651236348,0.9999999999989431,"{""action"": 0, ""context"": 0, ""nonce"": 150, ""phase"": 2, ""reward"": 0.8847269651236348, ""signature"": ""37b6728e083271266d96b9041c38e5d255886d6dc4611287ce603a9763557f69""}",a43d33990862ba38be7086e228b36a7fd78d204942534d4da6c5ce017644846f,24df4f9b1b28f3021fb8a31abf846c09b24ab1d1bf2e0e2812767c0e1a09a54e,1
s1101-b48-w0-yoked_internal-p2-c1-t27,s1101-b48-w0-yoked_internal,yoked_internal,2,27,1,116,1,0,0.3096753862371353,s1101-b48-w1-live_internal-p2-c1-t27,0.3096753862371353,0.9999999999981495,"{""action"": 0, ""context"": 1, ""nonce"": 151, ""phase"": 2, ""reward"": 0.3096753862371353, ""signature"": ""189829da663827914d50d48b9e73888f53d91c18119f507dcf3df8d9322c0957""}",4f0c1e68cc9c962b01f438f8ea1bb1d2ee2edc0db15db6538d1fe7b0ce2b268d,5ab12fc7e41074c97c1985ad923481a8dc88da6d8d60027018f8296a5b3aba35,1
