parameters,modules,protocol,context,cell,title,odor,stage,nativeFigure,native,local,errorHz
March 2023,2,fitting_script,0,5,MBON-\alpha3,0,3,april-2modules-attractive.fig,-4.829495731825139,-4.829495731825139,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,0,4,april-2modules-attractive.fig,8.976466286245664,8.976466286245664,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,0,5,april-2modules-attractive.fig,13.333427724246896,13.333427724246896,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,1,0,april-2modules-attractive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,1,1,april-2modules-attractive.fig,13.802939146007688,13.802939146007688,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,1,2,april-2modules-attractive.fig,17.613634348666054,17.613634348666054,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,1,3,april-2modules-attractive.fig,19.96,19.96,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,1,4,april-2modules-attractive.fig,19.96,19.96,0.0
March 2023,2,fitting_script,0,5,MBON-\alpha3,1,5,april-2modules-attractive.fig,19.96,19.96,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,0,0,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,0,1,april-2modules-repulsive.fig,2.3126668906426735,2.3126668906426735,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,0,2,april-2modules-repulsive.fig,2.5394452720929026,2.5394452720929026,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,0,3,april-2modules-repulsive.fig,3.9320608375800172,3.9320608375800172,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,0,4,april-2modules-repulsive.fig,3.66621676411304,3.66621676411304,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,0,5,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,1,0,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,1,1,april-2modules-repulsive.fig,1.624330634225702,1.624330634225702,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,1,2,april-2modules-repulsive.fig,1.6363123678740759,1.6363123678740759,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,1,3,april-2modules-repulsive.fig,3.702765567562878,3.702765567562878,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,1,4,april-2modules-repulsive.fig,3.6611190762437658,3.6611190762437658,0.0
March 2023,2,fitting_script,1,0,DAN-\gamma1pedc,1,5,april-2modules-repulsive.fig,3.657218037273171,3.657218037273171,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,0,0,april-2modules-repulsive.fig,3.434047927041533,3.434047927041533,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,0,1,april-2modules-repulsive.fig,8.372852078592224,8.372852078592224,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,0,2,april-2modules-repulsive.fig,10.557603567919799,10.5576035679198,1.7763568394002505e-15
March 2023,2,fitting_script,1,2,DAN-\alpha3,0,3,april-2modules-repulsive.fig,6.142564051577703,6.142564051577703,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,0,4,april-2modules-repulsive.fig,3.5199575854396086,3.5199575854396086,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,0,5,april-2modules-repulsive.fig,3.4340478921950846,3.4340478921950846,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,1,0,april-2modules-repulsive.fig,3.434047927041533,3.434047927041533,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,1,1,april-2modules-repulsive.fig,2.8464446312301765,2.8464446312301765,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,1,2,april-2modules-repulsive.fig,2.988922996933902,2.988922996933902,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,1,3,april-2modules-repulsive.fig,3.9643724847768764,3.9643724847768764,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,1,4,april-2modules-repulsive.fig,3.4714523657828824,3.4714523657828824,0.0
March 2023,2,fitting_script,1,2,DAN-\alpha3,1,5,april-2modules-repulsive.fig,3.434047911547607,3.434047911547607,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,0,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,1,april-2modules-repulsive.fig,-10.044749363694887,-10.044749363694887,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,2,april-2modules-repulsive.fig,-16.312961672800455,-16.312961672800462,-7.105427357601002e-15
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,3,april-2modules-repulsive.fig,14.275831275822242,14.275831275822242,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,4,april-2modules-repulsive.fig,21.862095058042456,21.862095058042456,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,0,5,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,0,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,1,april-2modules-repulsive.fig,4.700387827799261,4.700387827799261,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,2,april-2modules-repulsive.fig,4.264421754979409,4.264421754979409,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,3,april-2modules-repulsive.fig,20.49425927334056,20.49425927334056,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,4,april-2modules-repulsive.fig,22.00065192427727,22.00065192427727,0.0
March 2023,2,fitting_script,1,3,MBON-\gamma1pedc>\alpha/\beta,1,5,april-2modules-repulsive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,0,0,april-2modules-repulsive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,0,1,april-2modules-repulsive.fig,-11.2,-11.2,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,0,2,april-2modules-repulsive.fig,-11.2,-11.2,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,0,3,april-2modules-repulsive.fig,-11.2,-11.2,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,0,4,april-2modules-repulsive.fig,-4.41917582247407,-4.41917582247408,-9.769962616701378e-15
March 2023,2,fitting_script,1,5,MBON-\alpha3,0,5,april-2modules-repulsive.fig,-2.0580699902057233,-2.0580699902057287,-5.329070518200751e-15
March 2023,2,fitting_script,1,5,MBON-\alpha3,1,0,april-2modules-repulsive.fig,14.740796773154848,14.740796773154848,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,1,1,april-2modules-repulsive.fig,-1.4975417799085733,-1.4975417799085733,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,1,2,april-2modules-repulsive.fig,-5.675757207743388,-5.675757207743388,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,1,3,april-2modules-repulsive.fig,-1.542169465270863,-1.542169465270863,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,1,4,april-2modules-repulsive.fig,7.992749599615625,7.992749599615625,0.0
March 2023,2,fitting_script,1,5,MBON-\alpha3,1,5,april-2modules-repulsive.fig,7.271444700500002,7.271444700500002,0.0
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,0,0,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,0,1,april-2modules-attractive.fig,-0.6574804263468176,-0.8725607989531305,-0.21508037260631296
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,0,2,april-2modules-attractive.fig,-0.4533955857795998,-0.6469466280918896,-0.1935510423122898
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,0,3,april-2modules-attractive.fig,-2.3456263849871477,-2.2976079040549,0.0480184809322477
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,0,4,april-2modules-attractive.fig,-2.541561177945393,-2.5406153068509116,0.0009458710944811877
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,0,5,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,1,0,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,1,1,april-2modules-attractive.fig,-1.1298914244592726,-1.4685176105186026,-0.33862618605933004
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,1,2,april-2modules-attractive.fig,-1.1382259702802997,-1.487235089584231,-0.3490091193039313
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,1,3,april-2modules-attractive.fig,-2.575659766194519,-2.5830668963219416,-0.0074071301274227785
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,1,4,april-2modules-attractive.fig,-2.5466902864538916,-2.546998631334259,-0.0003083448803673505
March 2023,2,figure_5c_script,0,0,DAN-\gamma1pedc,1,5,april-2modules-attractive.fig,-2.5439767068497874,-2.5439767068497874,0.0
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,0,0,april-2modules-attractive.fig,-4.204290686779414,-4.204290686779414,0.0
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,0,1,april-2modules-attractive.fig,2.437716751615849,2.7304198616884863,0.29270311007263716
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,0,2,april-2modules-attractive.fig,4.362452932373708,4.86878770036231,0.5063347679886014
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,0,3,april-2modules-attractive.fig,-2.3764790974549026,-1.971053613013202,0.4054254844417007
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,0,4,april-2modules-attractive.fig,-4.181488472029563,-4.172489988750266,0.008998483279296643
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,0,5,april-2modules-attractive.fig,-4.204290689698767,-4.204290690864514,-1.1657474985327099e-09
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,1,0,april-2modules-attractive.fig,-4.204290686779414,-4.204290686779414,0.0
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,1,1,april-2modules-attractive.fig,-2.709886214072296,-3.4578478225999167,-0.7479616085276208
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,1,2,april-2modules-attractive.fig,-2.8073467951788027,-3.6448209590660645,-0.8374741638872618
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,1,3,april-2modules-attractive.fig,-4.567575874044748,-4.691173517954416,-0.12359764390966799
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,1,4,april-2modules-attractive.fig,-4.230292854475729,-4.233228498036517,-0.00293564356078857
March 2023,2,figure_5c_script,0,2,DAN-\alpha3,1,5,april-2modules-attractive.fig,-4.204290675953047,-4.204290675953047,0.0
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,0,april-2modules-attractive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,1,april-2modules-attractive.fig,-2.57436975457982,-2.229523044568417,0.344846710011403
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,2,april-2modules-attractive.fig,-8.081114138569049,-8.342083174172334,-0.260969035603285
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,3,april-2modules-attractive.fig,16.85652833775113,15.672426822660206,-1.1841015150909229
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,4,april-2modules-attractive.fig,22.042562292285865,22.01685696828804,-0.025705323997826213
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,0,5,april-2modules-attractive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,1,0,april-2modules-attractive.fig,22.107789526857758,22.107789526857758,0.0
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,1,1,april-2modules-attractive.fig,11.80051159380102,15.186156341056282,3.385644747255263
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,1,2,april-2modules-attractive.fig,12.069745203981817,15.715772223466765,3.646027019484947
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,1,3,april-2modules-attractive.fig,23.114319114071435,23.440563756737333,0.32624464266589825
March 2023,2,figure_5c_script,0,3,MBON-\gamma1pedc>\alpha/\beta,1,4,april-2modules-attractive.fig,22.18197379884623,22.190358717318333,0.008384918472103209
